RowN,Line,WorkcellId,Workcell,tShift,tStartHour,SH,OEE,Availability,Performance,Quality,dGoodParts,sScrapParts,dTotalParts,dScrapPcnt,MaxParts,DownTime,TotalTime,IdealAvailTime,lFaultCount,FaultTime,RunTime,AvailableTime,MTBF,MTTR,PlannedDownTime,SpeedLoss,ActualCylceTime,IdealCylceTime,CycleTimeDiff,IdealLostParts,IdealLostPartsMinutes,IdealScrapPartsMinutes,ActualScrapPartsMinutes,tStartHourMachine
1,Line1,1000029,Cooling,2019-04-06 18:59:58.000,2019-04-07 00:00:00.000,0,44.1280000102743,91.2282499412246,84.6492178329991,57.1428571428571,8064,6048,14112,0.428571428571429,18274.1116708721,5.26305003403984,60,59.9999999860302,0,0,54.7369499519903,59.9999999860302,0,0,1.39698158818646E-08,15.3507821670009,0.232725127346898,0.197,-0.0357251273468975,4162.11167087212,13.6655999860302,19.8576,23.4586928365673,2019-4-7 0_Cooling
2,Line1,1000029,Cooling,2019-04-06 18:59:58.000,2019-04-07 01:00:00.000,1,47.2800000110083,89.1412778032927,86.6310220371641,61.2244897959184,8640,5472,14112,0.387755102040816,18274.1116708721,6.51523331650744,60,59.9999999860301,0,0,53.4847666695227,59.9999999860301,0,0,1.39698689357222E-08,13.3689779628359,0.227401218833005,0.197,-0.0304012188330048,4162.11167087213,13.6655999860302,17.9664,20.73899115757,2019-4-7 1_Cooling
3,Line1,1000029,Cooling,2019-04-06 18:59:58.000,2019-04-07 02:00:00.000,2,44.1280000102744,85.9543928772672,86.1759330009025,59.5744680851064,8064,5472,13536,0.404255319148936,18274.1116708721,8.42736427167753,60,59.9999999860301,0,0,51.5726357143526,59.9999999860301,0,0,1.39698613565997E-08,13.8240669990975,0.228602108662911,0.197,-0.0316021086629105,4738.11167087212,15.5567999860301,17.9664,20.8485123100574,2019-4-7 2_Cooling
4,Line1,1000029,Cooling,2019-04-06 18:59:58.000,2019-04-07 03:00:00.000,3,48.8560000113752,90.9562461023531,83.1696593244256,64.5833333333333,8928,4896,13824,0.354166666666667,18274.1116708721,5.42625233732474,60,59.9999999860302,0,0,54.5737476487054,59.9999999860302,0,0,1.39698386192322E-08,16.8303406755744,0.236865224169728,0.197,-0.0398652241697283,4450.11167087213,14.6111999860302,16.0752,19.3282022922498,2019-4-7 3_Cooling
5,Line1,1000029,Cooling,2019-04-06 18:59:58.000,2019-04-07 04:00:00.000,4,45.7040000106413,89.2192221973863,88.3217742517549,58,8352,6048,14400,0.42,18274.1116708721,6.46846668006219,60,59.9999999860302,0,0,53.531533305968,59.9999999860302,0,0,1.39698461983547E-08,11.6782257482451,0.223048055441533,0.197,-0.0260480554415333,3874.11167087214,12.7199999860302,19.8576,22.4832439885065,2019-4-7 4_Cooling
6,Line1,1000029,Cooling,2019-04-06 18:59:58.000,2019-04-07 05:00:00.000,5,44.1280000102744,91.1195555515994,84.7501939078813,57.1428571428571,8064,6048,14112,0.428571428571429,18274.1116708721,5.32826666779978,60,59.9999999860301,0,0,54.6717333182304,59.9999999860301,0,0,1.39698613565997E-08,15.2498060921187,0.232447845740775,0.197,-0.0354478457407755,4162.11167087213,13.6655999860302,19.8576,23.4307428506702,2019-4-7 5_Cooling
7,Line1,1000029,Cooling,2019-04-06 18:59:58.000,2019-04-07 06:00:00.000,6,45.7338395050268,88.9757515229456,86.8488516830149,59.1836734693878,8352,5760,14112,0.408163265306122,18262.1885465837,6.61023335694236,59,59.9608523946166,0,0,53.3506190376742,59.9608523946166,0,0,-0.0108523946166012,13.1511483169851,0.226830863255418,0.197,-0.0298308632554176,4150.18854658373,13.6264523946166,18.912,21.7757628725201,2019-4-7 6_Cooling
8,Line1,1000029,Cooling,2019-04-07 06:59:57.000,2019-04-07 06:00:00.000,6,0,100,0,0,0,0,0,0,11.9231242883932,0,0,0.0391475914135575,0,0,0.0391475914135575,0.0391475914135575,0,0,0.0108524085864425,0,0,0.197,0,11.9231242883932,0,0,0,2019-4-7 6_Cooling
9,Line1,1000029,Cooling,2019-04-07 06:59:57.000,2019-04-07 07:00:00.000,7,36.2480000084396,68.0439444434716,85.6975598497531,62.1621621621622,6624,4032,10656,0.378378378378378,18274.1116708721,19.1736333294528,60,59.9999999860302,1,1.10436666576639,40.8263666565773,59.9999999860302,2449.58199939464,1,1.39698310401097E-08,14.3024401502469,0.229878190633881,0.197,-0.0328781906338814,7618.11167087213,25.0127999860302,13.2384,15.4478144105968,2019-4-7 7_Cooling
10,Line1,1000029,Cooling,2019-04-07 06:59:57.000,2019-04-07 08:00:00.000,8,44.1280000102743,91.1160874066031,86.4830813758542,56,8064,6336,14400,0.44,18274.1116708721,5.33034755479706,60,59.9999999860302,0,0,54.6696524312331,59.9999999860302,0,0,1.39698158818646E-08,13.5169186241458,0.227790218463471,0.197,-0.0307902184634713,3874.11167087213,12.7199999860302,20.8032,24.0546470697426,2019-4-7 8_Cooling
11,Line1,1000029,Cooling,2019-04-07 06:59:57.000,2019-04-07 09:00:00.000,9,48.8560000113752,89.026912586497,84.9720582459994,64.5833333333333,8928,4896,13824,0.354166666666667,18274.1116708721,6.58385244656888,60,59.9999999860302,0,0,53.4161475394613,59.9999999860302,0,0,1.39698461983547E-08,15.0279417540006,0.231840918140023,0.197,-0.0348409181400229,4450.11167087212,14.6111999860301,16.0752,18.9182189202259,2019-4-7 9_Cooling
